"","Name","First_Election","Second_Election","First_Primary","Second_Primary","First_General","Second_General","First_Special","Second_Special","First_Year","Second_Year","Ward","Incumbency","Second_Win"
"73","Joseph A. Jurek",30.1822323462415,17.3682348779625,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","35",0,0
"74","Joseph H. Shaw",21.6639654240951,59.174649963154,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1999","15",0,0
"75","Joseph L. Simmons, Jr.",61.1579539066892,46.5452847805789,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","18",0,0
"76","Joseph S. Kotlarz, Jr.",163.165486493575,386.446469248292,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1983","1987","35",1,1
"77","Juan A. Velazquez",100,60.4668395702112,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","25",0,0
"78","Juan M. Otero",100,80.4239401496259,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1991","1995","26",0,0
"79","Juan M. Soliz",235.024752475248,137.569470174139,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","25",1,1
"80","Karen N. Hoover",100,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","49",0,0
"81","Kwame Raoul",100,81.9685039370079,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","4",0,0
"82","Larry Williams",100,92.827868852459,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1995","15",0,0
"83","Lemuel Austin, Jr.",211.617076326003,103.942181340342,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","34",1,1
"84","Leonard Deville",60.7509881422925,239.069604756908,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1999","21",0,1
"85","Lloyd T. Walton",12.1380404601349,21.1262679258482,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1999","21",0,0
"86","Lorraine L. Dixon",491.589295466958,215.663968497047,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1991","1995","8",1,1
"87","Luis V. Gutierrez",113.421896472744,361.204819277108,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1986","1987","26",1,1
"88","Madeline L. Haithcock",117.324606258949,351.740020470829,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1995","1999","2",1,1
"89","Margaret Laurino",138.137294259334,168.523993632022,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1995","1999","39",1,1
"90","Margaret M. Parker",100,11.7977528089888,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","29",0,0
"91","Marian Humes",315.878877400295,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1987","8",1,0
"92","Marion Kennedy Volini",100,450.127877237852,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1978","1979","48",0,1
"93","Marion L. Fisher",89.625,1.33928571428571,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1991","1",0,0
"94","Mark J. Fary",261.917268548917,450.675024108004,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","12",1,1
"95","Marlene C. Carter",196.694821887624,212.408140192199,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1986","1987","15",1,1
"96","Michael Charles Moses",100,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1995","5",0,0
"97","Michael D. Chandler",185.196506550218,345.2161243322,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","24",1,1
"98","Michael F. Sheahan",197.036315569779,1006.95327102804,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1987","19",1,1
"99","Migdalia Collazo",170.967741935484,75.8683068017366,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","31",1,0
"100","Miguel A. Santiago",344.009216589862,186.179450072359,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","31",1,1
"101","Myles L. Reed",20.1185770750988,13.0711164084227,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1995","21",0,0
"102","Nick Valadez",43.4225844004657,33.716915995397,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","1",0,0
"103","Niles Sherman",100,481.660079051383,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1987","21",0,1
"104","Patrick J. Levar",142.620095342868,721.110100090992,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","45",1,1
"105","Patrick J. O'connor",125.751215201061,164.247543526978,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1983","1987","4",1,1
"106","Percy Z. Giles",631.037489102005,157.882431529726,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","37",1,1
"107","Perry H. Hutchinson",37.8867014865408,191.58483360611,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1979","1983","9",0,1
"108","Randolph Anderson, Jr.",4.48954489544895,42.5810119386015,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1999","16",0,0
"109","Ricardo Munoz",209.603340292276,333.519108280255,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","22",1,1
"110","Richard D. Taylor",61.577868852459,46.4996315401621,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","15",0,0
"111","Richard Fattore",100,60.3904555314534,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","39",0,0
"112","Richard J. Dowdell",35.7668067226891,43.5944140862174,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","9",0,0
"113","Rickey R. Hendon",211.904761904762,100,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1991","1999","27",1,0
"114","Robert Shaw",109.722780233025,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1979","1983","9",1,0
"115","Robert T. Kellam",107.126460767947,173.101265822785,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1977","1979","18",1,1
"116","Roman C. Pucinski",165.955123113582,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","41",1,0
"117","Ron Sable",100,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","44",0,0
"118","Ronald C. Robinson",100,100,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"1989","1991","6",0,0
"119","Salvatore G. Terranova",31.1755361397935,38.8872447469666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","41",0,0
"120","Sam Burrell",110.717797443461,114.993564993565,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1991","1995","29",1,1
"121","Sheneather Y. Butler",100,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","27",0,0
"122","Shirley A. Coleman",113.65171249397,200.198807157058,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1991","1995","16",1,1
"123","Sidney G. Shelton",69.6067415730337,10.3736754043503,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1995","2",0,0
"124","Stanley Johnson",90,44.9028163427211,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","21",0,0
